City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
26,Atuona,PF,-9.8,-139.0333,77.5,81,23,17.0,light rain
27,Pangai,TO,-19.8,-174.35,78.13,82,31,11.61,scattered clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,57,20,17.27,few clouds
29,Fare,PF,-16.7,-151.0167,80.15,72,4,12.82,clear sky
30,Azare,NG,11.6765,10.1948,102.29,14,32,8.86,scattered clouds
31,Narsaq,GL,60.9167,-46.05,37.62,98,100,7.4,moderate rain
32,Mataura,NZ,-46.1927,168.8643,43.41,94,98,6.76,overcast clouds
33,Angoche,MZ,-16.2325,39.9086,77.5,77,1,9.82,clear sky
34,Pedernales,DO,18.0384,-71.744,85.71,63,82,4.99,broken clouds
35,Saint George,US,37.1041,-113.5841,71.44,16,0,3.44,clear sky
36,Khatanga,RU,71.9667,102.5,32.32,91,100,5.37,overcast clouds
37,Beloha,MG,-25.1667,45.05,68.76,61,30,7.0,scattered clouds
38,Auki,SB,-8.7676,160.7034,77.45,88,16,3.49,few clouds
39,Busselton,AU,-33.65,115.3333,61.65,67,96,23.91,light rain
40,Port Alfred,ZA,-33.5906,26.891,59.18,87,31,2.68,scattered clouds
41,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,21.85,scattered clouds
42,Souillac,MU,-20.5167,57.5167,75.58,73,40,10.36,scattered clouds
43,Yellowknife,CA,62.456,-114.3525,36.12,80,100,9.22,light rain
44,Hobart,AU,-42.8794,147.3294,49.86,83,100,8.05,overcast clouds
45,Wanning,CN,18.8003,110.3967,78.96,91,100,4.07,overcast clouds
46,Punta Arenas,CL,-53.15,-70.9167,39.31,70,40,16.11,scattered clouds
47,Havelock,US,34.8791,-76.9013,80.58,83,100,7.0,overcast clouds
48,Qaanaaq,GL,77.484,-69.3632,23.85,70,100,2.77,overcast clouds
49,Cayenne,GF,4.9333,-52.3333,85.08,1,40,13.8,scattered clouds
50,Tilichiki,RU,60.4667,166.1,31.98,92,44,4.43,scattered clouds
51,Maisons-Alfort,FR,48.8117,2.4395,75.25,56,0,10.36,clear sky
52,Talnakh,RU,69.4865,88.3972,34.21,100,100,1.3,overcast clouds
53,Victoria,HK,22.2855,114.1577,79.18,82,100,13.0,overcast clouds
54,Hobbs,US,32.7026,-103.136,57.81,35,0,16.11,clear sky
55,Misratah,LY,32.3754,15.0925,74.86,46,0,13.09,clear sky
56,Acajutla,SV,13.5928,-89.8275,84.99,65,85,7.81,moderate rain
57,Nioro,GM,13.35,-15.75,100.11,16,58,8.01,broken clouds
58,Riberalta,BO,-10.9833,-66.1,86.2,58,20,6.91,few clouds
59,Luchow,DE,52.9667,11.15,68.11,53,59,4.9,broken clouds
60,Winslow,US,35.0242,-110.6974,69.98,26,0,4.61,clear sky
61,Lebu,CL,-37.6167,-73.65,54.66,95,100,6.89,overcast clouds
62,Codrington,AU,-38.2667,141.9667,43.52,94,6,7.9,clear sky
63,Kodiak,US,57.79,-152.4072,45.91,87,100,20.71,moderate rain
64,Yulara,AU,-25.2406,130.9889,58.21,38,53,7.09,broken clouds
65,Noumea,NC,-22.2763,166.4572,77.0,99,47,4.32,light rain
66,Yumen,CN,40.2833,97.2,69.66,16,63,14.34,broken clouds
67,Nioki,CD,-2.7167,17.6833,80.91,76,93,3.62,moderate rain
68,Nuevo Casas Grandes,MX,30.4167,-107.9167,75.74,19,62,4.0,broken clouds
69,Lichinga,MZ,-13.3128,35.2406,61.05,78,18,2.13,few clouds
70,Thompson,CA,55.7435,-97.8558,58.71,34,61,6.4,broken clouds
71,Novo Oriente,BR,-5.5344,-40.7742,83.62,52,87,9.89,overcast clouds
72,Porbandar,IN,21.6422,69.6093,83.43,82,46,18.05,scattered clouds
73,Ahipara,NZ,-35.1667,173.1667,59.61,79,100,11.1,overcast clouds
74,Fortuna,US,40.5982,-124.1573,50.94,93,100,9.22,overcast clouds
75,Broome,US,42.2506,-75.833,84.45,56,0,11.01,clear sky
76,Odweyne,SO,9.4092,45.064,88.54,17,100,12.5,overcast clouds
77,Kharan,PK,28.5833,65.4167,90.48,11,0,17.83,clear sky
78,Harrison,US,30.4091,-89.0436,84.27,73,20,12.66,few clouds
79,Labuhan,ID,-6.8844,112.2051,80.85,80,98,11.52,light rain
80,Kinchil,MX,20.9167,-89.95,93.27,40,25,11.12,scattered clouds
81,Lahij,YE,13.1667,44.5833,89.31,38,25,4.74,scattered clouds
82,Borazjan,IR,29.2666,51.2159,94.15,13,0,4.99,clear sky
83,Buta,CD,2.7858,24.73,78.17,73,100,0.96,light rain
84,Portland,US,45.5234,-122.6762,61.38,72,0,6.91,clear sky
85,Alekseyevka,RU,50.6309,38.6903,49.28,94,94,6.96,overcast clouds
86,Vila Velha,BR,-20.3297,-40.2925,80.55,50,75,11.5,broken clouds
