City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Tautira,PF,2022-05-22 04:41:02,-17.7333,-149.15,79.75,72,23,10.76
155,Abu Samrah,SY,2022-05-22 04:41:03,35.3029,37.1841,80.15,12,84,10.27
156,Dormidontovka,RU,2022-05-22 04:41:04,47.7702,134.9076,53.73,71,100,10.63
157,Pointe-Noire,CG,2022-05-22 04:41:04,-4.7761,11.8635,72.99,87,97,4.23
158,Guerrero Negro,MX,2022-05-22 04:41:04,27.9769,-114.0611,60.64,78,96,13.58
159,Pacific Grove,US,2022-05-22 04:34:38,36.6177,-121.9166,56.25,85,100,6.91
160,Debre Birhan,ET,2022-05-22 04:41:05,9.6833,39.5333,61.84,26,71,3.27
161,Daru,PG,2022-05-22 04:41:06,-9.0763,143.2092,82.96,75,98,11.52
162,Sur,OM,2022-05-22 04:35:40,22.5667,59.5289,101.3,27,0,9.28
163,Port Elizabeth,ZA,2022-05-22 04:32:57,-33.918,25.5701,50.09,93,0,2.3
164,Nevelsk,RU,2022-05-22 04:41:06,46.6733,141.8633,57.38,65,95,10.94
165,Karratha,AU,2022-05-22 04:34:14,-20.7377,116.8463,82.02,62,100,7.07
166,Otane,NZ,2022-05-22 04:41:07,-39.8833,176.6333,61.02,62,2,15.55
167,Dicabisagan,PH,2022-05-22 04:41:08,17.0818,122.4157,85.39,71,95,3.94
168,Virginia Beach,US,2022-05-22 04:39:06,36.8529,-75.978,76.01,83,100,3.0
169,Leh,IN,2022-05-22 04:41:08,34.1667,77.5833,49.86,37,26,3.87
170,Port Blair,IN,2022-05-22 04:41:09,11.6667,92.75,87.84,74,40,13.8
171,Acarau,BR,2022-05-22 04:41:09,-2.8856,-40.12,75.04,88,30,8.37
172,Zakamensk,RU,2022-05-22 04:41:10,50.3741,103.2863,74.01,20,8,8.25
173,Marzuq,YE,2022-05-22 04:41:10,14.4,46.4667,86.34,14,47,2.15
174,Tiksi,RU,2022-05-22 04:36:51,71.6872,128.8694,31.39,92,100,4.94
175,Nantucket,US,2022-05-22 04:41:11,41.2835,-70.0995,66.31,96,0,8.05
176,Nanortalik,GL,2022-05-22 04:41:11,60.1432,-45.2371,39.33,85,100,9.42
177,Petrovsk,RU,2022-05-22 04:42:12,52.3064,45.3917,49.46,60,100,7.76
178,Celle,DE,2022-05-22 04:40:14,52.6226,10.0805,54.37,91,91,2.3
179,Tabriz,IR,2022-05-22 04:42:13,38.08,46.2919,60.26,31,0,2.3
180,Praia,CV,2022-05-22 04:41:24,14.9215,-23.5087,70.34,78,20,11.5
181,Iracoubo,GF,2022-05-22 04:42:13,5.4802,-53.2011,76.6,90,100,10.25
182,San Joaquin,US,2022-05-22 04:42:14,37.9333,-121.3011,75.45,28,0,12.66
183,Avarua,CK,2022-05-22 04:42:15,-21.2078,-159.775,77.05,83,75,3.44
184,Dikson,RU,2022-05-22 04:32:56,73.5069,80.5464,28.67,88,67,12.62
185,Port Hedland,AU,2022-05-22 04:42:16,-20.3167,118.5667,84.25,70,40,6.91
186,Maria Chiquita,PA,2022-05-22 04:42:17,9.4431,-79.7558,81.3,82,100,4.83
187,Yemanzhelinsk,RU,2022-05-22 04:42:17,54.7547,61.3208,45.57,64,53,16.42
188,Upernavik,GL,2022-05-22 04:42:17,72.7868,-56.1549,28.45,87,100,2.53
189,Buraydah,SA,2022-05-22 04:42:18,26.326,43.975,82.85,12,1,9.13
190,Tessalit,ML,2022-05-22 04:40:36,20.1986,1.0114,84.65,17,70,8.93
191,Grindavik,IS,2022-05-22 04:42:19,63.8424,-22.4338,43.27,87,0,24.16
192,Faya,SA,2022-05-22 04:42:19,18.3851,42.4509,66.72,9,31,7.07
193,Conakry,GN,2022-05-22 04:42:20,9.538,-13.6773,79.9,82,100,7.63
194,Zhigansk,RU,2022-05-22 04:42:20,66.7697,123.3711,48.79,47,39,6.62
195,Baturaja,ID,2022-05-22 04:42:21,-4.1333,104.1667,91.62,54,48,1.36
196,Kodinsk,RU,2022-05-22 04:42:21,58.6881,99.1844,55.04,46,71,10.02
197,Moroni,KM,2022-05-22 04:42:22,-11.7022,43.2551,79.14,78,35,8.25
198,Fomboni,KM,2022-05-22 04:42:22,-12.28,43.7425,80.98,69,20,10.98
199,Nyaunglebin,MM,2022-05-22 04:42:23,17.95,96.7333,90.48,61,62,3.56
200,Camacha,PT,2022-05-22 04:42:23,33.0833,-16.3333,62.02,77,20,11.5
201,Mayachnyy,RU,2022-05-22 04:42:24,52.6839,55.685,42.85,66,86,13.71
202,Inhambane,MZ,2022-05-22 04:42:24,-23.865,35.3833,69.78,94,75,3.44
203,Caravelas,BR,2022-05-22 04:32:58,-17.7125,-39.2481,70.29,73,0,6.69
204,Taoudenni,ML,2022-05-22 04:42:25,22.6783,-3.9836,85.12,11,0,12.08
205,Benguela,AO,2022-05-22 04:42:25,-12.5763,13.4055,67.91,79,65,1.48
206,Lagos,NG,2022-05-22 04:41:12,6.5833,3.75,73.72,90,100,4.45
207,Pingliang,CN,2022-05-22 04:42:26,35.5392,106.6861,75.79,39,1,10.78
208,Clyde River,CA,2022-05-22 04:35:28,70.4692,-68.5914,19.63,93,100,13.8
209,Avera,US,2022-05-22 04:42:27,33.194,-82.5271,75.25,92,100,9.64
210,Hofn,IS,2022-05-22 04:42:27,64.2539,-15.2082,46.36,87,100,15.93
211,Hendrina,ZA,2022-05-22 04:42:28,-26.1588,29.7153,43.77,91,69,8.08
212,Xining,CN,2022-05-22 04:42:28,36.6167,101.7667,69.08,30,0,3.67
213,Luena,AO,2022-05-22 04:42:29,-11.7833,19.9167,52.97,71,94,3.53
214,Touros,BR,2022-05-22 04:42:29,-5.1989,-35.4608,74.68,90,21,10.83
215,Itacare,BR,2022-05-22 04:42:30,-14.2775,-38.9967,69.91,79,3,8.95
216,Salalah,OM,2022-05-22 04:42:30,17.0151,54.0924,84.29,79,75,4.61
217,Kohat,PK,2022-05-22 04:42:30,33.582,71.4493,84.27,13,0,2.48
218,Zaysan,KZ,2022-05-22 04:43:31,47.4667,84.8667,73.42,38,100,6.58
219,Marawi,PH,2022-05-22 04:43:31,7.9986,124.2928,78.03,82,89,3.15
220,Kahului,US,2022-05-22 04:39:18,20.8947,-156.47,82.42,66,20,19.57
221,Cockburn Town,TC,2022-05-22 04:43:32,21.4612,-71.1419,79.38,82,100,19.1
