City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
537,Sambava,MG,75.34,broken clouds,-14.2667,50.1667,Melrose
540,Mahbubnagar,IN,88.52,clear sky,16.7333,77.9833,Maruthi Mess and Fast Foods
545,Surgana,IN,77.07,clear sky,20.5667,73.6167,Taj Hotel
547,Nabire,ID,75.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
551,Sanlucar De Barrameda,ES,77.09,clear sky,36.7781,-6.3515,HOTEL BARRAMEDA
554,Balabac,PH,80.44,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
564,Suba,PH,83.19,overcast clouds,10.8438,121.0102,Jarnchi Pension House
566,Inhambupe,BR,79.93,broken clouds,-11.7844,-38.3531,Hotel JVS
569,Waddan,LY,87.13,clear sky,29.1614,16.139,محل الشريف محمد العايب
572,Morgan City,US,83.01,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
576,Sorong,ID,76.95,light rain,-0.8833,131.25,Waigo Splash Hotel
580,El Carmen,CO,84.6,clear sky,8.5106,-73.4478,Hotel La Casona
586,Binghamton,US,85.28,clear sky,42.0987,-75.918,"Holiday Inn Binghamton Downtown, an IHG Hotel"
587,Sao Jose Da Coroa Grande,BR,81.01,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
590,Kasangulu,CD,77.49,light rain,-4.5911,15.1708,Hôtel le Relais
592,Bobo Dioulasso,BF,86.45,scattered clouds,11.1771,-4.2979,IBA Hotel
595,Tecoanapa,MX,84.02,scattered clouds,16.5167,-98.75,Hotel Manglares
596,Medina Del Campo,ES,75.76,clear sky,41.3124,-4.9141,Hotel Villa de Ferias
600,Caravelas,BR,77.11,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
601,Castanhal,BR,86.94,scattered clouds,-1.2939,-47.9264,ESTAÇÃO HOTEL
602,Puerto Ayacucho,VE,84.69,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
610,Huautla,MX,86.49,few clouds,21.0333,-98.2833,Hotel Huautla
612,Nsanje,MW,79.0,few clouds,-16.92,35.262,Nsanje Discovery Lodge
613,Kavaratti,IN,83.55,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
615,Blagaj,BA,80.56,few clouds,43.2575,17.8886,MyWay
619,Manono,CD,81.97,broken clouds,-7.3,27.4167,Hotel hewa bora
620,Trairi,BR,83.43,scattered clouds,-3.2778,-39.2689,janelas do mar
621,Bull Savanna,JM,83.35,overcast clouds,17.8868,-77.5902,Big Red's
642,Lazaro Cardenas,MX,82.31,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
648,Samarai,PG,80.19,scattered clouds,-10.6167,150.6667,Nuli Sapi
650,Quirinopolis,BR,77.92,clear sky,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
